dciPOW-Ground_NLDG0001,Ground,dciPOW-Ground,dciPOW-Ground
dciPOW-PowIscs_NLDG0001,PSCADA to ISCS,dciPOW-PowIscs,dciPOW-PowIscs
dciPOW-RightPos_NLDG0001,Right Pos,dciPOW-RightPos,dciPOW-RightPos
dciPOW-ComSta_NLDG0001,Rec Comm,dciPOW-ComSta,dciPOW-ComSta
dciPOW-BrkVAlmR1_NKFJ0001,NENGKUIXITONGDIANYABAOJINGJIECHUIDUAN,dciPOW-BrkVAlmR1,dciPOW-BrkVAlmR1
dciPOW-BrkVAlmR2_NKFJ0001,NENGKUIXITONGDIANYABAOJINGJIECHUIIDUAN,dciPOW-BrkVAlmR2,dciPOW-BrkVAlmR2
dciPOW-BrkVAlm1_NKFJ0001,NENGKUIXITONGDIANYABAOHUBAOJINGIDUAN,dciPOW-BrkVAlm1,dciPOW-BrkVAlm1
dciPOW-BrkVAlm2_NKFJ0001,NENGKUIXITONGDIANYABAOHUBAOJINGIIDUAN,dciPOW-BrkVAlm2,dciPOW-BrkVAlm2
dciPOW-BrkFrmCurP_NKFJ0001,NENGKUIKUANGJIABAOHUDIANLIUDONGZUO,dciPOW-BrkFrmCurP,dciPOW-BrkFrmCurP
dciPOW-MeltFlt_NKFJ0001,FUDIDIANYACELIANGRONGDUANQIGUZHANG,dciPOW-MeltFlt,dciPOW-MeltFlt
dciPOW-PLCClo_NKFJ0001,PLCGUANBI,dciPOW-PLCClo,dciPOW-PLCClo
dciPOW-NegCtrl2_NKFJ0001,KONGZHIFANGSHI,dciPOW-NegCtrl2,dciPOW-NegCtrl2
dciPOW-FltSig_NKFJ0001,GUZHANGZONGXINHAO,dciPOW-FltSig,dciPOW-FltSig
dciPOW-ComSta_NKFJ0001,Rec Comm,dciPOW-ComSta,dciPOW-ComSta
dciPOW-Reserve13_NKWQ0001,reserve,dciPOW-Reserve13,dciPOW-Reserve13
dciPOW-OvrTrpSig_NKWQ0001,CHAOWENTIAOZHAXINHAO,dciPOW-OvrTrpSig,dciPOW-OvrTrpSig
dciPOW-OvrAlmSig_NKWQ0001,GUOWENBAOJINGXINHAO,dciPOW-OvrAlmSig,dciPOW-OvrAlmSig
dciPOW-FltAlmSig_NKWQ0001,GUZHANGBAOJINGXINHAO,dciPOW-FltAlmSig,dciPOW-FltAlmSig
dciPOW-ComSta_NKWQ0001,Rec Comm,dciPOW-ComSta,dciPOW-ComSta
dciPOW-MeterComm_DDB_0007,Rec Comm,dciPOW-MeterComm,dciPOW-MeterComm
dciPOW-SelCBOpn_HVNK0001,Opn Select Control,dciPOW-SelCBOpn,dciPOW-SelCBOpn
dciPOW-SelCBClo_HVNK0001,Clo Select Control,dciPOW-SelCBClo,dciPOW-SelCBClo
dciPOW-SelCBOpn_NKNB0001,Opn Select Control,dciPOW-SelCBOpn,dciPOW-SelCBOpn
dciPOW-SelCBClo_NKNB0001,Clo Select Control,dciPOW-SelCBClo,dciPOW-SelCBClo
dciPOW-SelCBOpn_ZSKX0001,Opn Select Control,dciPOW-SelCBOpn,dciPOW-SelCBOpn
dciPOW-SelCBClo_ZSKX0001,Clo Select Control,dciPOW-SelCBClo,dciPOW-SelCBClo
dciPOW-SelCBOpn_NLDG0001,Opn Select Control,dciPOW-SelCBOpn,dciPOW-SelCBOpn
dciPOW-SelCBClo_NLDG0001,Clo Select Control,dciPOW-SelCBClo,dciPOW-SelCBClo
