ID,nom_instance,reference_import,address,deadband,label,length,name,type,ELEMENT_NAME,varInvalid1,varInvalid2,varInvalid3,functCheck,functTrans
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_6GenAlmM,deiSTAUCST000BACSHVACACSERU_6GenAlmM,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Minor),4,deiSTAUCST000BACSHVACACSERU_6GenAlmM,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_6GenAlm,deiSTAUCST000BACSHVACACSERU_6GenAlm,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Major),4,deiSTAUCST000BACSHVACACSERU_6GenAlm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_6RtTemp,aeiSTAUCST000BACSHVACACSERU_6RtTemp,M-Conf 30/01/18 16:54,$VOID,0,Return Temperature,4,aeiSTAUCST000BACSHVACACSERU_6RtTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_6SpTemp,aeiSTAUCST000BACSHVACACSERU_6SpTemp,M-Conf 30/01/18 16:54,$VOID,0,Supply Temperature,4,aeiSTAUCST000BACSHVACACSERU_6SpTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_6EmStp,deiSTAUCST000BACSHVACACSERU_6EmStp,M-Conf 30/01/18 16:54,$VOID,0,Emergency Stop Push-Button-Control Operation,4,deiSTAUCST000BACSHVACACSERU_6EmStp,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_6TpAlrm,deiSTAUCST000BACSHVACACSERU_6TpAlrm,M-Conf 30/01/18 16:54,$VOID,0,Sum Of Major Fault/Trip Alarms-Trip,4,deiSTAUCST000BACSHVACACSERU_6TpAlrm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_7GenAlmM,deiSTAUCST000BACSHVACACSERU_7GenAlmM,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Minor),4,deiSTAUCST000BACSHVACACSERU_7GenAlmM,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_7GenAlm,deiSTAUCST000BACSHVACACSERU_7GenAlm,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Major),4,deiSTAUCST000BACSHVACACSERU_7GenAlm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_7RtTemp,aeiSTAUCST000BACSHVACACSERU_7RtTemp,M-Conf 30/01/18 16:54,$VOID,0,Return Temperature,4,aeiSTAUCST000BACSHVACACSERU_7RtTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_7SpTemp,aeiSTAUCST000BACSHVACACSERU_7SpTemp,M-Conf 30/01/18 16:54,$VOID,0,Supply Temperature,4,aeiSTAUCST000BACSHVACACSERU_7SpTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_7EmStp,deiSTAUCST000BACSHVACACSERU_7EmStp,M-Conf 30/01/18 16:54,$VOID,0,Emergency Stop Push-Button-Control Operation,4,deiSTAUCST000BACSHVACACSERU_7EmStp,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_7TpAlrm,deiSTAUCST000BACSHVACACSERU_7TpAlrm,M-Conf 30/01/18 16:54,$VOID,0,Sum Of Major Fault/Trip Alarms-Trip,4,deiSTAUCST000BACSHVACACSERU_7TpAlrm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_8GenAlmM,deiSTAUCST000BACSHVACACSERU_8GenAlmM,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Minor),4,deiSTAUCST000BACSHVACACSERU_8GenAlmM,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_8GenAlm,deiSTAUCST000BACSHVACACSERU_8GenAlm,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Major),4,deiSTAUCST000BACSHVACACSERU_8GenAlm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_8RtTemp,aeiSTAUCST000BACSHVACACSERU_8RtTemp,M-Conf 30/01/18 16:54,$VOID,0,Return Temperature,4,aeiSTAUCST000BACSHVACACSERU_8RtTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_8SpTemp,aeiSTAUCST000BACSHVACACSERU_8SpTemp,M-Conf 30/01/18 16:54,$VOID,0,Supply Temperature,4,aeiSTAUCST000BACSHVACACSERU_8SpTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_8EmStp,deiSTAUCST000BACSHVACACSERU_8EmStp,M-Conf 30/01/18 16:54,$VOID,0,Emergency Stop Push-Button-Control Operation,4,deiSTAUCST000BACSHVACACSERU_8EmStp,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_8TpAlrm,deiSTAUCST000BACSHVACACSERU_8TpAlrm,M-Conf 30/01/18 16:54,$VOID,0,Sum Of Major Fault/Trip Alarms-Trip,4,deiSTAUCST000BACSHVACACSERU_8TpAlrm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_9GenAlmM,deiSTAUCST000BACSHVACACSERU_9GenAlmM,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Minor),4,deiSTAUCST000BACSHVACACSERU_9GenAlmM,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_9GenAlm,deiSTAUCST000BACSHVACACSERU_9GenAlm,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Major),4,deiSTAUCST000BACSHVACACSERU_9GenAlm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_9RtTemp,aeiSTAUCST000BACSHVACACSERU_9RtTemp,M-Conf 30/01/18 16:54,$VOID,0,Return Temperature,4,aeiSTAUCST000BACSHVACACSERU_9RtTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_9SpTemp,aeiSTAUCST000BACSHVACACSERU_9SpTemp,M-Conf 30/01/18 16:54,$VOID,0,Supply Temperature,4,aeiSTAUCST000BACSHVACACSERU_9SpTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_9EmStp,deiSTAUCST000BACSHVACACSERU_9EmStp,M-Conf 30/01/18 16:54,$VOID,0,Emergency Stop Push-Button-Control Operation,4,deiSTAUCST000BACSHVACACSERU_9EmStp,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_9TpAlrm,deiSTAUCST000BACSHVACACSERU_9TpAlrm,M-Conf 30/01/18 16:54,$VOID,0,Sum Of Major Fault/Trip Alarms-Trip,4,deiSTAUCST000BACSHVACACSERU_9TpAlrm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_10GenAlmM,deiSTAUCST000BACSHVACACSERU_10GenAlmM,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Minor),4,deiSTAUCST000BACSHVACACSERU_10GenAlmM,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_10GenAlm,deiSTAUCST000BACSHVACACSERU_10GenAlm,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Major),4,deiSTAUCST000BACSHVACACSERU_10GenAlm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_10RtTemp,aeiSTAUCST000BACSHVACACSERU_10RtTemp,M-Conf 30/01/18 16:54,$VOID,0,Return Temperature,4,aeiSTAUCST000BACSHVACACSERU_10RtTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_10SpTemp,aeiSTAUCST000BACSHVACACSERU_10SpTemp,M-Conf 30/01/18 16:54,$VOID,0,Supply Temperature,4,aeiSTAUCST000BACSHVACACSERU_10SpTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_10EmStp,deiSTAUCST000BACSHVACACSERU_10EmStp,M-Conf 30/01/18 16:54,$VOID,0,Emergency Stop Push-Button-Control Operation,4,deiSTAUCST000BACSHVACACSERU_10EmStp,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_10TpAlrm,deiSTAUCST000BACSHVACACSERU_10TpAlrm,M-Conf 30/01/18 16:54,$VOID,0,Sum Of Major Fault/Trip Alarms-Trip,4,deiSTAUCST000BACSHVACACSERU_10TpAlrm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_11GenAlmM,deiSTAUCST000BACSHVACACSERU_11GenAlmM,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Minor),4,deiSTAUCST000BACSHVACACSERU_11GenAlmM,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_11GenAlm,deiSTAUCST000BACSHVACACSERU_11GenAlm,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Major),4,deiSTAUCST000BACSHVACACSERU_11GenAlm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_11RtTemp,aeiSTAUCST000BACSHVACACSERU_11RtTemp,M-Conf 30/01/18 16:54,$VOID,0,Return Temperature,4,aeiSTAUCST000BACSHVACACSERU_11RtTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_11SpTemp,aeiSTAUCST000BACSHVACACSERU_11SpTemp,M-Conf 30/01/18 16:54,$VOID,0,Supply Temperature,4,aeiSTAUCST000BACSHVACACSERU_11SpTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_11EmStp,deiSTAUCST000BACSHVACACSERU_11EmStp,M-Conf 30/01/18 16:54,$VOID,0,Emergency Stop Push-Button-Control Operation,4,deiSTAUCST000BACSHVACACSERU_11EmStp,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_11TpAlrm,deiSTAUCST000BACSHVACACSERU_11TpAlrm,M-Conf 30/01/18 16:54,$VOID,0,Sum Of Major Fault/Trip Alarms-Trip,4,deiSTAUCST000BACSHVACACSERU_11TpAlrm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_12GenAlmM,deiSTAUCST000BACSHVACACSERU_12GenAlmM,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Minor),4,deiSTAUCST000BACSHVACACSERU_12GenAlmM,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_12GenAlm,deiSTAUCST000BACSHVACACSERU_12GenAlm,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Major),4,deiSTAUCST000BACSHVACACSERU_12GenAlm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_12RtTemp,aeiSTAUCST000BACSHVACACSERU_12RtTemp,M-Conf 30/01/18 16:54,$VOID,0,Return Temperature,4,aeiSTAUCST000BACSHVACACSERU_12RtTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_12SpTemp,aeiSTAUCST000BACSHVACACSERU_12SpTemp,M-Conf 30/01/18 16:54,$VOID,0,Supply Temperature,4,aeiSTAUCST000BACSHVACACSERU_12SpTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_12EmStp,deiSTAUCST000BACSHVACACSERU_12EmStp,M-Conf 30/01/18 16:54,$VOID,0,Emergency Stop Push-Button-Control Operation,4,deiSTAUCST000BACSHVACACSERU_12EmStp,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_12TpAlrm,deiSTAUCST000BACSHVACACSERU_12TpAlrm,M-Conf 30/01/18 16:54,$VOID,0,Sum Of Major Fault/Trip Alarms-Trip,4,deiSTAUCST000BACSHVACACSERU_12TpAlrm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_13GenAlmM,deiSTAUCST000BACSHVACACSERU_13GenAlmM,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Minor),4,deiSTAUCST000BACSHVACACSERU_13GenAlmM,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_13GenAlm,deiSTAUCST000BACSHVACACSERU_13GenAlm,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Major),4,deiSTAUCST000BACSHVACACSERU_13GenAlm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_13RtTemp,aeiSTAUCST000BACSHVACACSERU_13RtTemp,M-Conf 30/01/18 16:54,$VOID,0,Return Temperature,4,aeiSTAUCST000BACSHVACACSERU_13RtTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_13SpTemp,aeiSTAUCST000BACSHVACACSERU_13SpTemp,M-Conf 30/01/18 16:54,$VOID,0,Supply Temperature,4,aeiSTAUCST000BACSHVACACSERU_13SpTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_13EmStp,deiSTAUCST000BACSHVACACSERU_13EmStp,M-Conf 30/01/18 16:54,$VOID,0,Emergency Stop Push-Button-Control Operation,4,deiSTAUCST000BACSHVACACSERU_13EmStp,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_13TpAlrm,deiSTAUCST000BACSHVACACSERU_13TpAlrm,M-Conf 30/01/18 16:54,$VOID,0,Sum Of Major Fault/Trip Alarms-Trip,4,deiSTAUCST000BACSHVACACSERU_13TpAlrm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_1GenAlmM,deiSTAUCST000BACSHVACACSAHUVFD_1GenAlmM,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Minor),4,deiSTAUCST000BACSHVACACSAHUVFD_1GenAlmM,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_1GenAlm,deiSTAUCST000BACSHVACACSAHUVFD_1GenAlm,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Major),4,deiSTAUCST000BACSHVACACSAHUVFD_1GenAlm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSAHUVFD_1RtTemp,aeiSTAUCST000BACSHVACACSAHUVFD_1RtTemp,M-Conf 30/01/18 16:54,$VOID,0,Return Temperature,4,aeiSTAUCST000BACSHVACACSAHUVFD_1RtTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSAHUVFD_1SpTemp,aeiSTAUCST000BACSHVACACSAHUVFD_1SpTemp,M-Conf 30/01/18 16:54,$VOID,0,Supply Temperature,4,aeiSTAUCST000BACSHVACACSAHUVFD_1SpTemp,AEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_1EmStp,deiSTAUCST000BACSHVACACSAHUVFD_1EmStp,M-Conf 30/01/18 16:54,$VOID,0,Emergency Stop Push-Button-Control Operation,4,deiSTAUCST000BACSHVACACSAHUVFD_1EmStp,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_1TpAlrm,deiSTAUCST000BACSHVACACSAHUVFD_1TpAlrm,M-Conf 30/01/18 16:54,$VOID,0,Sum Of Major Fault/Trip Alarms-Trip,4,deiSTAUCST000BACSHVACACSAHUVFD_1TpAlrm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_2GenAlmM,deiSTAUCST000BACSHVACACSAHUVFD_2GenAlmM,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Minor),4,deiSTAUCST000BACSHVACACSAHUVFD_2GenAlmM,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSAHUVFD_2GenAlm,deiSTAUCST000BACSHVACACSAHUVFD_2GenAlm,M-Conf 30/01/18 16:54,$VOID,0,General Alarm (Major),4,deiSTAUCST000BACSHVACACSAHUVFD_2GenAlm,DEIV,VE,,,,,
:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSAHUVFD_2RtTemp,aeiSTAUCST000BACSHVACACSAHUVFD_2RtTemp,M-Conf 30/01/18 16:54,$VOID,0,Return Temperature,4,aeiSTAUCST000BACSHVACACSAHUVFD_2RtTemp,AEIV,VE,,,,,
